,text,labels
0,team 2019merimera alikuwa takataka,negative
1,sijafurahishwa,negative
2,kubuni dosari,negative
3,bila kusema nilipoteza pesa zangu,negative
4,sema kupoteza pesa na wakati,negative
5,ubunifu ni isiyo ya kawaida sana kwani kipande cha sikio sio kizuri sana hata,negative
6,akili yako imeoza,negative
7,aki si maisha ni magumu,negative
8,enyewe safaricom ni wezi,negative
9,mtandao duni hata line yao niliweka nyuma ya simu yangunatumia airtel,negative
10,mtandao wenu wa 4g ni mbaya sana siku hizi tafadhali rekebisheni,negative
11,safaricom si muache kucheza na mkopo wa nambari yangu tafadhali mnanifilisisha,negative
12,hauna haki,negative
13,nyinyi mimi nilinunua laini yenu miaka 20 iliyopita hata peremende sijawai pata gai hata mtu akioa bibi miaka hiyo yote sianamzaliaheeeee nengereni cia maitho kari gani,negative
14,siwezi kuona jinsi sinema hii inavyoweza kuwa msukumo kwa mtu yeyote kushinda woga na kukataliwa,negative
15,ni mbaya sana ni kweli inafaa kuona kwa sababu hiyo,negative
16,muziki mdogo sana au kitu chochote cha kuzungumzia,negative
17,bado mtaishi kuwa wakora ata hii ofa labda kuna kakitu mnaiba haha,negative
18,nimepoteza masaa mawili,negative
19,inaweza kutabirika kidogo,negative
20,sikuipenda mimi,negative
21,mimi sipenda ujinga,negative
22,ilikuwa na kaimu ya wastani kutoka kwa mtu mkuu na ilikuwa bajeti ya chini kama unavyoweza kuona wazi,negative
23,picha ni mbali na sehemu bora ya mchezo,negative
24,leo picha ni ujinga,negative
25,hili lilikuwa haribifu la dhabiti kutoka kwa mawazo yake,negative
26,sikuvutiwa hata kidogo,negative
27,haisisimui hata kidogo,negative
28,lakini hata carrell mwenye talanta hawezi kuokoa hii,negative
29,hadithi yenyewe ni ya kutabirika tu na ya uvivu,negative
30,lakini chochote kile ambacho kiliwagharimu sana hakikuitafsiri kwa ubora hiyo ni kwa hakika,negative
31,kwa hasi ni ya kutosha kusababisha majuto kwa masaa mengine mawili ya maisha yaliyopotea mbele ya skrini,negative
32,muda mrefu mwepesi na hauna maana,negative
